 Morbidade Hospitalar do SUS - por local de residência - Paraíba
Valor total por Município e Ano/mês processamento
Lista Morb  CID-10: Doença pelo vírus da imunodeficiência humana [HIV], Estado infec assint vírus da imunodef humana [HIV]
Período:2019-2024
"Município";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"Total"
"250680 INGA";-;-;-;-;-;-;-;-;-;507,07;1658,66;507,07;-;-;1120,94;1800,56;-;-;-;-;-;-;-;-;-;-;-;23,45;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1250,57;-;-;3180,60;-;866,84;-;-;-;-;-;-;-;-;-;-;643,87;-;-;-;-;-;-;-;-;4158,05;15741,13
"250690 ITABAIANA";-;-;3197,79;-;1003,25;1300,98;1587,82;1753,19;-;-;-;-;507,07;-;-;-;-;1677,77;-;1251,33;-;-;-;-;-;546,67;-;-;-;46,90;-;-;-;46,90;-;2870,17;1052,09;2669,58;-;21808,74;23,45;-;157,99;-;-;-;70,35;-;-;-;-;-;12988,70;2533,66;-;-;1494,12;82,46;867,84;-;-;5509,39;573,25;592,07;-;-;23,45;710,69;5524,09;-;-;-;72471,76
"250700 ITAPORANGA";-;293,59;552,20;406,25;-;-;-;-;-;-;1907,67;7879,90;606,69;-;2490,70;-;-;-;-;797,61;-;1546,35;-;-;-;-;-;6064,24;-;23,45;-;1112,07;-;-;-;1179,94;-;573,25;-;-;1919,03;-;2227,52;1113,76;1410,96;-;866,84;-;23,45;-;-;-;-;-;-;-;1930,93;-;-;-;2451,12;-;-;-;-;800,66;-;-;-;-;23,45;46,90;38248,53
"250710 ITAPOROROCA";-;324,85;-;-;-;-;3924,29;-;-;-;-;-;573,25;1828,83;-;-;-;1601,32;-;27235,48;800,66;-;-;-;-;1046,54;1188,98;5164,64;-;-;-;-;-;-;-;1555,20;-;-;-;23,45;744,58;-;1344,78;-;70,35;-;-;14131,48;-;-;-;-;23,45;-;-;-;-;-;-;-;1012,38;-;2507,95;9572,98;-;-;-;-;-;-;-;-;74675,44
"250720 ITATUBA";-;-;-;-;8232,77;-;-;-;-;-;1069,74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;604,27;-;-;-;4229,43;-;-;-;-;-;-;507,07;879,54;-;-;-;-;-;4165,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19688,14
"250730 JACARAU";-;-;-;-;-;-;364,97;-;1179,94;-;-;-;-;-;1080,32;-;-;1410,96;787,23;-;-;-;-;-;-;23,45;-;573,25;-;-;-;23,45;23,45;-;573,25;23,45;-;-;-;-;-;-;-;-;-;-;-;-;1091,65;5880,32;-;-;1190,01;-;-;-;-;1171,98;-;-;-;-;-;-;2491,32;-;-;-;-;-;-;-;17889,00
"250740 JERICO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1235,94;-;-;-;-;-;-;-;-;1259,39
"250750 JOAO PESSOA";19981,98;28241,65;15737,50;46196,35;48797,95;53899,01;27527,94;35759,33;48319,90;29517,25;14751,45;28111,43;59459,97;40422,04;24081,23;9513,29;21396,87;11603,19;7821,45;16146,72;20080,70;15714,40;35092,86;19981,51;10909,86;22165,97;79288,85;61544,36;57446,46;99243,71;53041,02;89868,12;67504,10;48458,23;33856,75;55532,21;52040,40;16123,70;36447,68;128458,22;48944,96;71859,93;19225,93;43984,97;76925,16;78387,81;38805,71;51370,28;23834,05;55507,37;58275,32;43667,79;103647,87;62999,43;72732,11;34302,06;86292,41;137510,91;50277,72;54322,95;50562,44;67806,50;27393,29;45716,21;49747,28;94497,48;47805,65;59311,93;84912,03;88769,33;115904,46;100394,02;3635780,97
"250760 JUAREZ TAVORA";-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;606,69;-;-;7289,08;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7919,22
"250770 JUAZEIRINHO";-;-;-;-;-;-;-;-;-;-;1464,51;1080,82;-;15294,28;20949,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;571,87;1237,00;-;-;-;-;-;-;1007,10;843,89;-;-;-;-;972,88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;853,14;-;-;44274,85
"250790 JURIPIRANGA";-;325,99;-;-;-;-;-;-;-;422,98;573,25;904,79;-;1735,81;606,69;-;-;606,69;-;-;-;-;866,84;-;-;23,45;-;-;-;-;-;-;-;1124,64;3647,60;-;-;-;-;935,96;-;3531,12;-;-;23,45;-;16828,34;2530,39;-;-;-;-;-;-;-;-;-;1187,94;-;-;-;-;-;-;2085,66;2894,02;-;531,27;-;-;-;-;41386,88
"250800 JURU";-;-;-;-;-;-;-;-;-;-;-;606,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;606,69
"250820 LAGOA DE DENTRO";772,31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1477,98;-;-;-;-;-;-;-;-;1177,98;-;-;-;-;-;-;-;-;-;-;-;1076,74;-;-;-;-;-;-;-;23837,15;606,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1163,98;-;30112,83
"250830 LAGOA SECA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1079,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;909,64;-;-;-;-;1052,74;-;-;-;-;-;-;-;-;3041,94
"250850 LIVRAMENTO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1054,62;748,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1802,81
"250855 LOGRADOURO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46,90
"250860 LUCENA";1723,10;573,25;4970,62;-;687,94;5080,79;-;766,27;-;-;545,02;507,07;1521,21;-;866,84;-;1804,08;-;-;-;-;-;-;6402,90;-;-;-;1080,32;1274,72;-;1362,14;1343,09;-;-;-;-;622,10;-;-;-;-;-;23,45;-;23,45;-;1311,34;317,04;1343,09;293,59;1506,85;2439,93;93,80;-;7399,42;-;-;539,47;-;-;507,07;13736,54;-;-;-;-;-;-;-;-;-;293,59;60960,09
"250880 MALTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;651,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;651,47
"250890 MAMANGUAPE";773,85;3696,58;1261,86;1874,23;507,07;1777,39;507,07;-;4833,98;-;1080,32;2454,23;1967,60;1977,79;3182,26;3212,91;793,91;7220,85;-;977,24;-;850,51;1751,50;-;960,50;-;3369,04;4339,68;28604,83;4481,98;3779,75;3521,83;9479,08;60942,83;1454,11;46,90;-;620,15;573,25;1233,45;2194,66;27448,85;12768,00;4012,59;2046,24;46,90;2499,91;3338,15;5602,03;-;-;2176,93;46,90;921,88;3381,46;8391,78;2837,73;7304,78;1543,87;3692,14;27903,07;1178,56;8339,49;7669,58;2569,10;885,66;2311,11;1038,34;3826,06;5817,22;630,02;8068,73;324600,27
"250900 MANAIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10955,34;-;-;-;-;-;-;-;-;-;-;3259,29;-;-;-;-;-;-;-;-;-;14214,63
"250905 MARCACAO";-;-;-;-;-;606,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1080,32;-;-;8204,54;507,07;-;-;-;-;23,45;-;-;800,66;-;-;-;-;-;-;-;-;-;-;-;23,45;23,45;-;-;3942,33;2520,28;-;4678,62;2184,04;1543,87;1444,72;1113,76;1803,07;1789,14;9406,86;-;-;-;-;6169,67;-;-;-;-;-;47865,99
"250910 MARI";-;-;687,48;-;633,43;7308,77;-;1050,77;-;1087,50;866,84;-;8095,04;-;-;-;13560,48;-;-;7856,91;-;13454,57;437,51;573,25;-;23,45;-;23,45;4233,70;-;-;-;70,35;23,45;-;-;-;-;5926,99;1619,96;1620,83;23,45;20716,88;-;824,11;-;1113,76;606,69;-;-;-;-;-;-;4045,67;2014,02;-;15257,90;13872,80;1311,34;2623,15;-;-;1198,76;606,69;507,07;-;-;-;1150,67;23,45;-;135051,14
"250915 MARIZOPOLIS";-;-;-;-;-;793,91;573,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;800,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2167,82
"250920 MASSARANDUBA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10323,93;-;-;-;-;-;-;-;-;-;-;-;466,70;-;-;-;10790,63
"250930 MATARACA";-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;-;11738,10;5761,29;-;-;-;-;-;-;-;23,45;23,45;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;866,84;-;-;599,66;-;-;574,25;23,45;1180,98;-;-;4932,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25770,84
"250933 MATINHAS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;573,25;-;-;573,25
"250939 MATUREIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;728,13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;728,13
"250940 MOGEIRO";-;-;-;-;-;-;-;-;1729,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;800,66;-;23,45;-;-;293,59;-;23,45;-;6116,46;-;-;23,45;23,45;2201,63;882,34;-;1311,34;-;-;-;-;-;-;-;-;-;-;1312,34;-;-;-;832,66;-;-;-;-;-;-;-;-;15598,02
"250960 MONTE HOREBE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3890,02;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;813,36;-;-;-;-;-;1080,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5783,70
"250970 MONTEIRO";1223,88;4539,42;-;1564,13;-;-;-;-;-;-;2009,41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;573,25;-;1382,82;-;-;-;-;-;-;-;-;44,22;-;23,45;-;-;-;-;-;-;23,45;-;-;-;7712,07;-;-;-;44,22;768,13;-;545,02;-;-;-;-;-;-;-;-;-;-;-;847,26;-;21300,73
"250980 MULUNGU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45
"251010 NOVA FLORESTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1004,28;1004,28
"251020 NOVA OLINDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;507,07;-;838,61;-;-;-;-;-;-;-;1080,32;-;-;2250,97;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;800,66;-;-;-;-;1093,02;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2440,27;-;-;9034,37
"251040 OLHO D'AGUA";-;-;-;-;866,84;-;606,69;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9196,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1170,02;-;-;-;-;900,28;-;-;-;-;-;-;3135,32;1151,86;-;-;-;-;-;-;-;1161,76;-;2012,10;-;-;20224,42
"251060 OURO VELHO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;70,35
"251080 PATOS";-;494,19;5582,95;876,85;1910,29;1628,93;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1340,80;-;-;3568,08;-;-;-;-;-;-;573,25;46,90;838,61;636,75;-;23,45;-;1542,74;-;12393,16;2022,64;23,45;23,45;638,44;-;-;-;-;-;4838,44;-;573,25;573,25;-;-;-;-;1913,83;-;11116,99;904,79;3821,27;1080,32;-;-;11883,28;15781,64;739,07;683,07;1281,24;89355,37
"251090 PAULISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1076,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;838,61;-;-;-;573,25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6565,32;-;-;-;-;-;658,67;9712,15
"251100 PEDRA BRANCA";-;-;-;-;-;-;-;-;-;-;-;1080,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;341,75;-;-;-;-;-;-;-;-;-;-;1422,07
"251110 PEDRA LAVRADA";-;-;-;-;-;-;-;-;1601,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2106,19;293,59;-;-;904,79;-;-;-;1132,20;-;1139,98;-;-;-;1528,12;-;-;-;-;-;-;-;-;-;-;508,07;-;450,30;-;-;-;-;-;-;-;-;-;-;-;-;9664,56
"251120 PEDRAS DE FOGO";-;-;643,48;-;-;1440,09;23,45;11980,04;23,45;-;606,69;-;900,28;-;-;-;10549,01;704,13;2680,33;1124,28;1120,94;3226,22;3202,50;606,69;9108,09;-;-;-;913,32;-;7620,21;824,11;46,90;507,07;1374,84;-;-;-;23,45;-;577,42;-;39467,65;4262,83;11925,46;46,90;978,84;-;23,45;-;-;8449,40;-;2267,43;784,13;-;14798,32;-;18816,47;-;977,24;800,66;-;1845,28;5511,34;-;-;986,86;-;10080,32;3208,52;-;185058,09
"251130 PIANCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1404,38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16396,22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17800,60
"251140 PICUI";-;-;-;-;487,99;-;614,03;-;293,59;-;-;-;-;-;-;-;-;-;-;-;-;-;1059,86;-;-;-;-;2348,18;23,45;-;2260,04;-;23,45;-;10207,75;-;-;-;1057,87;-;-;-;930,26;-;-;-;-;786,47;-;592,07;633,43;-;-;-;-;1475,46;-;-;-;-;-;-;-;-;-;2873,14;-;1617,72;-;-;-;904,79;28189,55
"251150 PILAR";725,81;-;293,59;-;-;-;-;507,07;-;-;507,07;-;-;-;-;-;-;-;-;2073,26;606,69;-;-;-;-;-;23,45;-;-;-;-;293,59;-;891,04;4694,13;23,45;-;-;-;-;453,45;1080,32;4911,34;-;-;-;-;-;-;-;-;-;-;-;7236,75;-;-;573,25;-;-;-;-;800,66;-;-;-;-;-;-;1349,29;-;1646,24;28690,45
"251160 PILOES";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1172,98;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;944,66;-;2117,64
"251170 PILOEZINHOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;778,87;-;507,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;800,66;-;-;-;-;-;-;-;-;-;-;-;-;-;2086,60
"251180 PIRPIRITUBA";-;-;-;-;-;293,59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;-;-;1595,10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1080,32;-;-;-;-;-;-;-;8678,05;-;-;-;-;-;-;-;-;-;-;46,90;11717,41
"251190 PITIMBU";-;293,59;-;-;900,28;-;1164,96;-;1113,76;1373,91;-;1708,83;-;620,90;-;507,07;-;-;-;-;3103,26;-;-;-;-;-;1080,32;2625,36;-;-;-;-;70,35;878,21;507,07;-;23,45;866,84;-;23,45;-;4316,53;1080,32;12047,49;-;-;-;-;-;-;-;7867,46;18030,12;-;26060,35;507,07;6679,27;-;-;-;-;4767,50;1168,72;-;-;-;-;-;35707,91;1080,32;800,66;1059,25;138034,58
"251200 POCINHOS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4890,09;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;-;324,90;-;324,90;-;3507,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1084,88;-;-;-;-;-;10155,29
"251207 POCO DE JOSE DE MOURA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;701,47;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;701,47
"251210 POMBAL";-;-;-;-;-;-;-;8591,16;-;-;23,45;-;-;-;-;-;-;-;-;451,90;-;-;-;-;-;-;1113,76;1276,59;1344,78;-;1307,85;-;-;-;-;-;-;-;-;2919,77;2228,63;-;1761,76;-;-;-;1605,91;-;3062,81;1804,08;1478,55;2292,55;5397,72;1087,50;-;-;700,51;1349,29;5856,80;-;-;968,49;2703,84;-;904,79;-;1719,75;665,02;-;909,11;1184,32;-;54710,69
"251220 PRATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6052,23;1080,32;1978,91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1645,78;-;-;-;545,02;-;-;-;-;5365,32;-;-;-;-;-;-;-;-;-;16667,58
"251230 PRINCESA ISABEL";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1140,36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10298,52;-;-;-;-;-;-;-;11438,88
"251240 PUXINANA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4012,31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2298,83;395,54;-;-;-;-;-;-;-;-;1188,23;7894,91
"251250 QUEIMADAS";-;938,00;-;-;1426,19;-;-;-;-;-;-;-;-;-;1057,99;1667,10;-;341,59;-;-;-;-;1487,92;-;-;23,45;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1868,79;-;4888,18;-;-;540,89;-;-;-;-;-;4741,33;-;-;-;1163,98;5066,00;-;1834,57;-;-;-;-;5568,37;32637,80
"251260 QUIXABA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;507,07;-;-;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;530,52
"251270 REMIGIO";-;-;-;1379,48;514,25;1026,39;705,18;23,45;474,13;-;1155,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23,45;866,84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1068,74;-;1008,37;-;-;-;1351,23;712,13;-;-;-;-;1464,92;-;-;-;-;507,07;-;-;-;-;1991,29;-;2382,39;-;13005,98;-;229,65;-;29890,01
"251272 PEDRO REGIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1531,75;-;-;-;-;-;-;1225,93;-;-;-;-;-;-;-;-;-;-;-;1587,22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4344,90
"251275 RIACHAO DO BACAMARTE";-;293,59;-;-;-;-;-;-;-;-;-;-;-;-;748,19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2280,32;-;-;-;-;-;-;-;-;-;-;-;-;3322,10
"251276 RIACHAO DO POCO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;46,90;23,45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70,35
"251290 RIO TINTO";-;-;-;1410,95;-;667,42;-;674,73;-;1087,50;2648,50;1694,19;-;866,84;-;-;-;-;-;900,28;-;1179,94;-;-;7787,49;3479,01;12436,07;2945,24;1798,38;3924,29;-;1164,98;1829,77;729,39;52,22;23,45;653,59;-;748,18;23,45;1641,38;831,92;46,90;939,73;9264,82;-;-;46,90;70,35;866,84;-;-;573,25;-;-;-;-;-;-;-;572,31;-;-;-;573,25;-;-;2093,49;2519,92;1532,54;573,25;17800,27;88672,98
"251300 SALGADINHO";-;-;-;-;-;-;-;-;1125,36;-;-;-;-;-;-;507,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1632,43
"251310 SALGADO DE SAO FELIX";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5208,76;643,48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1531,75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;507,07;-;16294,83;-;-;12012,86;36198,75
"251315 SANTA CECILIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;333,53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;948,55;-;-;604,51;-;-;748,51;-;317,59;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2952,69
"251320 SANTA CRUZ";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;606,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;606,69
"251340 SANTA LUZIA";-;-;-;13063,80;-;2768,90;-;507,07;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3168,88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;800,66;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20309,31
"251370 SANTA RITA";2386,75;8450,74;9487,01;6476,71;8089,07;4821,43;3622,16;28730,31;26254,48;4090,05;4209,94;2048,96;1328,22;2356,74;2657,08;1311,34;1181,51;3512,97;5143,61;7426,70;1113,76;-;1271,95;2131,50;402,92;6915,04;7837,74;9430,45;12288,63;10900,98;12428,13;29636,85;14013,48;7577,20;4604,01;8240,59;6750,38;2103,67;11646,20;35865,36;17486,68;13840,79;30433,73;9343,72;59449,39;2153,18;8432,75;41997,10;13751,33;4469,50;900,28;5170,86;19912,16;3591,60;1913,85;12146,72;3704,80;2496,50;23519,90;6573,62;4084,73;14210,27;2439,93;2747,82;13710,39;3705,39;10070,34;12932,16;5695,70;5566,70;2980,65;9083,64;687260,80
"251380 SANTA TERESINHA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;666,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;666,87
"251390 SAO BENTO";-;-;-;1826,63;2679,24;507,07;-;-;-;507,07;23,45;507,07;2288,18;766,27;507,07;1165,41;1080,32;-;-;571,87;-;-;-;507,07;606,69;-;-;-;1196,39;23,45;-;-;1364,72;-;-;-;-;3455,83;-;-;-;-;889,46;1018,51;23,45;-;-;-;-;-;-;-;733,87;-;-;-;-;-;-;-;-;-;-;-;1341,71;-;2604,37;-;-;-;-;669,07;26864,24
